nome,artista,genero,bpm,danceabilidade,energia,popularidade
Batidão Tropical,DJ Tropicália,Funk,130,0.93,0.91,95
Festa no Morro,MC Loma,Funk,128,0.89,0.87,90
Sofrência Raiz,Marília Sonora,Sertanejo,90,0.65,0.55,80
Hit do Verão,DJ Summer,Pop,105,0.78,0.72,85
Noite de Luxo,Luan Gold,Sertanejo,95,0.6,0.6,78
Ritmo Perfeito,Anitta Beat,Pop,110,0.8,0.75,88
Balada Sertaneja,Zé Pop,Sertanejo,85,0.58,0.5,75
Amor de Favela,MC Carol,Funk,132,0.94,0.92,94
Pop Leve,Vitão,Pop,108,0.76,0.7,82
Sextou,Dennis DJ,Eletrônico,125,0.88,0.85,89
Batidão Tropical,DJ Tropicália,Funk,130,0.93,0.91,95
Festa no Morro,MC Loma,Funk,128,0.89,0.87,90
Sofrência Raiz,Marília Sonora,Sertanejo,90,0.65,0.55,80
Hit do Verão,DJ Summer,Pop,105,0.78,0.72,85
Noite de Luxo,Luan Gold,Sertanejo,95,0.6,0.6,78
Ritmo Perfeito,Anitta Beat,Pop,110,0.8,0.75,88
Balada Sertaneja,Zé Pop,Sertanejo,85,0.58,0.5,75
Amor de Favela,MC Carol,Funk,132,0.94,0.92,94
Pop Leve,Vitão,Pop,108,0.76,0.7,82
Sextou,Dennis DJ,Eletrônico,125,0.88,0.85,89
Batidão Tropical,DJ Tropicália,Funk,130,0.93,0.91,95
Festa no Morro,MC Loma,Funk,128,0.89,0.87,90
Sofrência Raiz,Marília Sonora,Sertanejo,90,0.65,0.55,80
Hit do Verão,DJ Summer,Pop,105,0.78,0.72,85
Noite de Luxo,Luan Gold,Sertanejo,95,0.6,0.6,78
Ritmo Perfeito,Anitta Beat,Pop,110,0.8,0.75,88
Balada Sertaneja,Zé Pop,Sertanejo,85,0.58,0.5,75
Amor de Favela,MC Carol,Funk,132,0.94,0.92,94
Pop Leve,Vitão,Pop,108,0.76,0.7,82
Sextou,Dennis DJ,Eletrônico,125,0.88,0.85,89
Batidão Tropical,DJ Tropicália,Funk,130,0.93,0.91,95
Festa no Morro,MC Loma,Funk,128,0.89,0.87,90
Sofrência Raiz,Marília Sonora,Sertanejo,90,0.65,0.55,80
Hit do Verão,DJ Summer,Pop,105,0.78,0.72,85
Noite de Luxo,Luan Gold,Sertanejo,95,0.6,0.6,78
Ritmo Perfeito,Anitta Beat,Pop,110,0.8,0.75,88
Balada Sertaneja,Zé Pop,Sertanejo,85,0.58,0.5,75
Amor de Favela,MC Carol,Funk,132,0.94,0.92,94
Pop Leve,Vitão,Pop,108,0.76,0.7,82
Sextou,Dennis DJ,Eletrônico,125,0.88,0.85,89
Batidão Tropical,DJ Tropicália,Funk,130,0.93,0.91,95
Festa no Morro,MC Loma,Funk,128,0.89,0.87,90
Sofrência Raiz,Marília Sonora,Sertanejo,90,0.65,0.55,80
Hit do Verão,DJ Summer,Pop,105,0.78,0.72,85
Noite de Luxo,Luan Gold,Sertanejo,95,0.6,0.6,78
Ritmo Perfeito,Anitta Beat,Pop,110,0.8,0.75,88
Balada Sertaneja,Zé Pop,Sertanejo,85,0.58,0.5,75
Amor de Favela,MC Carol,Funk,132,0.94,0.92,94
Pop Leve,Vitão,Pop,108,0.76,0.7,82
Sextou,Dennis DJ,Eletrônico,125,0.88,0.85,89
